batchsize, accuracy, loss
100% sample size (38208), 0.576124370098114014, 1.182638693388252449
25% sample size (9552), 0.645413756370544434, 0.980072260748851232
5% sample size (1910), 0.677762687206268311, 0.891894066581320089
0.25% sample size (96), 0.8343942165374756, 0.5025102467722526
64, 0.87321993144989, 0.40996335750517837
32, 0.8827089667320251, 0.433720888437974
8, 0.8581863641738892, 0.4970051131036191
4, 0.8830220103263855, 0.4595099070429068
